"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",350,1.47262880072174
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",375,1.30930893918342
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",400,0.914684764224377
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",425,1.20772394143088
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",450,1.10625453246406
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",475,1.2098273830814
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",50,3.4780661795672
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",500,1.31044289650319
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-3.x3p",75,3.14620687484538
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",100,1.49613919047388
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",125,1.41614967728515
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",150,0.819722813218387
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",175,0.858911007553612
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",200,0.878686057839757
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",225,0.889659175952606
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",25,1.95626182583107
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",250,0.893116491615699
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",275,0.874168573409019
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",300,0.867082346888411
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",325,0.804735510898091
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",350,0.803302852481887
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",375,0.793416623306798
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",400,0.790831260975974
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",425,0.78696826721514
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",450,0.806216036330416
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",475,0.818218216509921
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",50,1.8029890994689
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",500,0.8349631182852
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-4.x3p",75,2.10154322295233
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",100,2.00653065228257
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",125,1.43497709989407
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",150,1.55424296300193
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",175,1.57758279984614
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",200,1.55995860688378
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",225,1.58791502597624
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",25,1.03263808772214
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",250,1.56575832165471
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",275,1.54150795728466
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",300,1.49001402486575
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",325,1.40132635209768
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",350,1.30459556616432
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",375,1.18803946649261
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",400,1.22993587788334
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",425,1.23560202534144
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",450,1.49344025384305
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",475,1.52963456465548
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",50,1.80621173683536
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",500,1.64099228504611
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-5.x3p",75,1.74795620235763
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",100,0.952277906462738
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",125,0.944177465899066
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",150,0.953356258441947
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",175,0.970638777087624
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",200,0.98439156614756
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",225,0.989355111289786
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",25,1.70365229774358
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",250,0.992568023002435
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",275,1.00265497989206
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",300,1.00394127143227
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",325,0.992373607066039
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",350,0.950262166408462
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",375,0.926966141132931
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",400,0.916520090034445
